Date,Open,Close,High,Low,Volume
2023-01-01,0,0,0,0,0
2023-01-02,0.157895,0.111111,0.157895,0.157895,0.111111
2023-01-03,0.210526,0.222222,0.210526,0.210526,0.222222
2023-01-04,0.368421,0.333333,0.368421,0.368421,0.333333
2023-01-05,0.421053,0.444444,0.421053,0.421053,0.444444
2023-01-06,0.578947,0.555556,0.578947,0.578947,0.555556
2023-01-07,0.631579,0.666667,0.631579,0.631579,0.666667
2023-01-08,0.789474,0.777778,0.789474,0.789474,0.777778
2023-01-09,0.842105,0.888889,0.842105,0.842105,0.888889
2023-01-10,1,1,1,1,1
